,released_year,released_month,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
125,2022,8,19,95,87,57,55,10,0,29,7
126,2011,8,16,146,63,88,93,3,0,10,8
127,2019,11,17,95,55,56,82,12,0,34,5
128,2017,8,11,115,35,12,30,93,0,10,3
129,2023,6,21,128,78,59,65,10,0,26,5
130,2023,5,15,130,82,69,83,3,0,27,5
131,2023,1,2,127,80,74,77,36,0,11,4
132,2011,1,1,150,42,20,86,21,0,9,9
133,2023,1,11,122,78,50,63,27,0,9,5
134,2007,4,20,140,52,20,85,0,0,7,5
135,2023,6,2,140,63,22,54,46,0,12,8
136,2022,12,2,119,75,48,53,18,0,18,34
137,2023,5,22,110,76,96,72,32,0,9,4
138,2017,1,1,95,60,17,45,16,0,11,2
139,2022,7,20,132,56,20,55,45,1,32,3
140,2017,1,31,125,77,74,78,4,0,23,11
141,2023,5,19,124,84,65,50,67,0,13,6
142,2023,6,1,133,93,68,65,42,0,12,25
143,2002,1,1,112,92,67,66,0,0,36,9
144,2023,7,13,97,79,92,89,5,0,6,5
145,2016,11,24,90,59,52,48,38,5,10,11
146,2022,5,6,80,65,27,69,8,0,53,4
147,2004,1,1,172,45,33,59,6,0,8,3
148,2019,5,10,120,60,24,35,73,0,31,3
149,2023,1,27,140,74,96,80,18,0,5,5
150,2023,6,30,128,81,90,77,1,0,9,5
151,2023,5,26,122,78,70,81,57,0,10,5
152,2010,1,1,130,47,86,92,8,0,5,24
153,2023,2,2,160,69,61,71,33,0,31,20
154,2012,12,5,144,73,87,70,6,0,28,5
155,2023,4,4,192,50,85,52,11,0,28,6
156,2022,6,17,163,54,40,67,0,0,9,17
157,2013,1,1,122,66,48,71,6,0,12,4
158,2021,3,19,154,61,41,74,21,0,40,6
159,2019,10,4,117,73,31,69,6,0,11,4
160,2023,1,23,138,78,89,83,10,0,12,5
161,2004,7,13,96,86,74,80,33,0,8,6
162,2016,4,4,104,77,36,63,1,0,36,5
163,2010,1,1,164,45,24,62,8,0,16,3
164,2020,3,20,118,68,61,82,2,0,50,3
165,2010,5,25,81,68,51,60,3,0,19,10
166,1983,1,6,117,82,73,45,54,0,7,3
167,2015,2,2,174,45,10,37,97,25,64,4
168,2011,1,1,128,73,60,77,3,0,11,4
169,2012,12,5,145,60,43,27,94,0,14,4
170,2018,5,25,150,65,51,55,73,0,14,3
171,2023,6,2,90,60,13,53,4,0,21,4
172,2013,1,1,85,55,42,53,17,0,22,3
173,2012,1,1,180,33,38,71,20,0,28,5
174,2023,4,12,166,57,84,94,11,0,37,9
175,2016,11,25,160,71,40,50,16,0,16,22
176,2014,1,1,160,65,95,80,5,0,41,16
177,2013,1,1,92,70,81,63,4,0,8,4
178,2022,3,19,170,56,53,64,11,0,45,6
179,2017,1,6,96,83,93,65,58,0,9,8
180,2014,11,17,120,67,40,52,86,0,12,4
181,2023,1,13,98,70,37,54,6,0,9,8
182,1992,9,21,92,53,12,34,1,0,12,4
183,2019,10,18,150,34,24,56,4,0,11,3
184,2017,3,21,94,37,17,47,2,46,11,3
185,2023,5,19,90,74,36,63,26,0,27,5
186,2016,8,20,160,54,54,55,67,0,42,11
187,2019,8,30,120,70,59,75,24,0,9,4
188,2010,1,1,109,63,46,85,1,0,9,5
189,2013,9,13,129,57,41,66,63,0,12,5
190,2022,12,16,157,54,75,60,30,0,7,5
191,2021,4,9,130,63,49,73,5,0,9,3
192,2022,5,6,107,65,19,72,10,0,13,25
193,2023,7,7,146,50,67,89,0,0,19,8
194,2020,2,10,139,48,37,41,32,0,10,10
195,1968,7,1,116,74,76,70,7,0,13,3
196,2010,7,20,95,84,52,77,12,0,7,4
197,2023,6,8,170,62,55,80,15,0,37,7
198,2022,12,19,134,81,18,64,3,0,10,11
199,1984,10,19,84,57,86,90,2,0,9,5
200,2023,6,2,146,61,20,48,21,0,12,6
201,2023,5,1,74,53,24,67,11,0,10,28
202,2023,5,11,144,75,35,48,84,0,10,12
203,2022,11,24,136,77,79,73,15,0,27,10
204,2023,5,15,100,56,53,55,53,0,12,4
205,2023,6,2,105,89,67,78,9,0,7,33
206,2023,5,26,106,67,24,78,15,0,30,4
207,2023,3,30,132,85,53,68,40,0,9,4
208,2023,6,2,120,78,5,30,21,0,13,5
209,2023,3,17,155,82,51,39,2,0,9,49
210,2023,5,13,129,70,42,43,78,0,11,3
211,2022,9,29,135,80,85,74,62,0,8,9
212,2023,6,2,98,73,45,62,28,0,13,13
213,2023,3,31,124,84,64,39,3,0,11,4
214,2023,6,2,135,77,28,55,18,0,22,15
215,2023,3,23,107,78,39,53,30,0,11,6
216,2022,10,12,96,54,25,74,14,0,9,11
217,2022,11,30,123,71,58,70,30,0,32,19
218,2023,5,26,90,62,7,62,6,0,58,6
219,2022,12,2,117,72,45,59,14,0,20,21
220,2023,4,4,133,78,90,84,31,0,7,4
